"name","votants17","Cs","JxCat","ERC","PSC","CatComu","CUP","PP","pop","indepe17","noindepe17","votants15","indepe15","noindepe15","id","partit","PtgCs","PtgJxCat","PtgERC","PtgPSC","PtgCatComu","PtgCUP","PtgPP","PtgIndepe","PtgNoIndepe","PtgIndepe15","PtgNoIndepe15","Dif","Dif15","CanviPast","BlocDifPast","CanviSenseSigne"
"Pla de l'Estany                         ",18968,1543,9718,4477,785,483,1347,379,31738,15542,2707,18156,15027,2094,28,"JxCat",8.13475326866301,51.2336566849431,23.6029101644876,4.13854913538591,2.54639392661324,7.10143399409532,1.99810206663855,81.9380008435259,14.2714044706875,82.7660277594184,11.5333773959022,67.6665963728385,71.2326503635162,-3.56605399067772,"more pro-union",3.56605399067772
"Priorat                                 ",6252,433,2340,2161,392,166,544,137,9345,5045,962,6181,4897,778,29,"JxCat",6.92578374920026,37.4280230326296,34.5649392194498,6.26999360204735,2.6551503518874,8.70121561100448,2.191298784389,80.6941778630838,15.3870761356366,79.2266623523702,12.5869600388287,65.3071017274472,66.6397023135415,-1.33260058609429,"more pro-union",1.33260058609429
"Ribera d'Ebre                           ",13527,1527,4241,4764,1124,509,675,458,22203,9680,3109,13285,9167,2848,30,"ERC",11.2885340430251,31.3521105936276,35.218451984919,8.30930731130332,3.76284468100835,4.99001996007984,3.38582095069121,71.5605825386264,22.9836623050196,69.0026345502446,21.4377117049304,48.5769202336069,47.5649228453143,1.01199738829259,"more pro-indy",1.01199738829259
"Ripollès                                ",16618,1981,7543,4008,1159,496,810,371,24999,12361,3511,16413,12113,3071,31,"JxCat",11.9208087615838,45.3905403779035,24.1184258033458,6.97436514622698,2.98471536887712,4.8742327596582,2.23251895534962,74.3831989409074,21.1276928631604,73.8012551026625,18.7107780417961,53.255506077747,55.0904770608664,-1.83497098311937,"more pro-union",1.83497098311937
"Segarra                                 ",11670,1557,4499,3124,752,347,714,453,22736,8337,2762,11145,8022,2194,32,"JxCat",13.3419023136247,38.5518423307626,26.7694944301628,6.44387317909169,2.97343616109683,6.11825192802057,3.88174807197943,71.439588688946,23.6675235646958,71.978465679677,19.6859578286227,47.7720651242502,52.2925078510543,-4.52044272680407,"more pro-union",4.52044272680407
"Segrià                                  ",111832,24033,29710,27825,12125,5170,4865,6064,208059,62400,42222,105228,56747,36658,33,"JxCat",21.4902711209672,26.5666356677874,24.8810716074111,10.8421560912798,4.62300593747764,4.35027541311968,5.42241934330067,55.7979826883182,37.7548465555476,53.9276618390542,34.8367354696469,18.0431361327706,19.0909263694074,-1.04779023663679,"more pro-union",1.04779023663679
"Selva                                   ",90139,21047,28386,18187,9282,4759,3876,2763,167837,50449,33092,85209,48022,27249,34,"JxCat",23.3494935599463,31.4913633388433,20.1766161151111,10.2974295255106,5.27962369229745,4.30002551614728,3.06526586716072,55.9680049701017,36.7121889526176,56.3578964663357,31.979016301095,19.2558160174841,24.3788801652408,-5.12306414775664,"more pro-union",5.12306414775664
"Solsonès                                ",8216,896,3234,2448,440,234,578,260,13360,6260,1596,7811,5995,1174,35,"JxCat",10.9055501460565,39.3622200584226,29.7955209347614,5.3554040895813,2.84810126582278,7.0350535540409,3.16455696202532,76.1927945472249,19.4255111976631,76.7507361413391,15.0300857764691,56.7672833495618,61.7206503648701,-4.95336701530822,"more pro-union",4.95336701530822
"Tarragonès                              ",136995,48998,20997,24591,19110,8657,4467,7308,250488,50055,75416,127979,46583,64864,36,"Cs",35.7662688419285,15.3268367458666,17.9502901565751,13.9494142121975,6.31920873024563,3.26070294536297,5.33450125917004,36.5378298478047,55.0501843132961,36.3989404511678,50.6833152314052,-18.5123544654914,-14.2843747802374,-4.22797968525405,"more pro-union",4.22797968525405
"Terra Alta                              ",7428,1039,2254,2252,625,290,369,462,11634,4875,2126,7274,4685,1747,37,"JxCat",13.9876144318794,30.3446418955304,30.3177167474421,8.41410877759828,3.9041464728056,4.96768982229402,6.21970920840065,65.6300484652666,28.6214324178783,64.407478691229,24.0170470167721,37.0086160473883,40.390431674457,-3.3818156270687,"more pro-union",3.3818156270687
"Urgell                                  ",20208,2459,7833,5932,1202,621,1162,686,36028,14927,4347,19403,14159,3599,38,"JxCat",12.1684481393508,38.7618764845606,29.3547110055424,5.94813935075218,3.07304038004751,5.75019794140934,3.39469517022961,73.8667854315123,21.5112826603325,72.9732515590373,18.5486780394784,52.3555027711797,54.4245735195588,-2.0690707483791,"more pro-union",2.0690707483791
